ลําดับ,รหัสหลักสูตร,สถาบัน,วิทยาเขต,คณะ,หลักสูตร,แขนง/วิชาเอก,โครงการ,รูปแบบ,PAT,"รหัส
รับรวม",รับ,สมัคร,ผาน,"ยืนยัน
สิทธิ์","อัตราการ
แขงขัน",คะแนนสูงสุด,คะแนนต่ําสุด
1,10010121300001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมศาสตร",,"คณะ
วิศวกรรมศาสตร
สาขาวิชา
วิศวกรรมศาสตร",Admission1,,,393,1137,403,393,1 : 2.89,90.0333,61.6753
2,10010121300001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมศาสตร",,,Admission2,,,33,1070,36,33,1 : 32.42,24932.34,21761.2
3,10010121300501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมคอมพิวเตอร",,,Admission1,,,50,555,52,50,1 : 11.1,95.5,77.2587
4,10010121301101A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมนิวเคลียรและรังสี",,,Admission1,,,15,115,15,15,1 : 7.67,69.8,55.992
5,10010121301101A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมนิวเคลียรและรังสี",,,Admission2,,,5,104,5,5,1 : 20.8,21090.15,20515.75
6,10010121302101A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมโยธา",,,Admission1,,,10,179,10,10,1 : 17.9,78.7,68.3333
7,10010121302501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมโลหการและวัสดุ",,,Admission1,,,40,154,28,26,1 : 3.85,62.0753,51.6333
8,10010121302501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมโลหการและวัสดุ",,,Admission2,,,10,178,26,24,1 : 17.8,21718.25,17500
9,10010121302701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมสํารวจ",,,Admission1,,,30,113,10,10,1 : 3.77,60.9667,51.7667
10,10010121302701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมสํารวจ",,,Admission2,,,20,172,46,40,1 : 8.6,19854.5,17387.15
11,10010121302801A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมสิ่งแวดลอม",,,Admission1,,,30,197,30,29,1 : 6.57,65.2753,51.2333
12,10010121303001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมทรัพยากรธรณี",,,Admission1,,,30,114,13,11,1 : 3.8,68.2167,52.5333
13,10010121303001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมทรัพยากรธรณี",,,Admission2,,,5,247,30,24,1 : 49.4,19519.95,17518.75
14,10010121303501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร,"หลักสูตรวิศวกรรมศาสตรบัณฑิต
สาขาวิชาวิศวกรรมอุตสาหการ",,,Admission1,,,5,100,5,5,1 : 20,84.5667,78.0333
15,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,"ภูมิศาสตรและภูมิ
สารสนเทศ","สาขาวิชาภูมิศาสตร
และภูมิสารสนเทศ",Admission1,,,7,118,8,7,1 : 16.86,57.125,52.3125
16,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาคณิตศาสตร",Admission1,,,10,434,10,10,1 : 43.4,76.375,65.1875
17,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาเกาหลี",Admission1,,2231,249,516,44,44,1 : 2.07,83.125,71.1875
18,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาเยอรมัน",Admission1,,2231,249,108,22,22,1 : 0.43,85.75,71.75
19,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาจีน",Admission1,,2231,249,629,38,37,1 : 2.53,85.3125,70.9375
20,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาญี่ปุน",Admission1,,2231,249,474,61,59,1 : 1.9,83.75,71
21,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาบาลี",Admission1,,2231,249,271,33,33,1 : 1.09,83.625,71
22,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาฝรั่งเศส",Admission1,,2231,249,350,55,55,1 : 1.41,87,70.9375
23,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"สาขาวิชาอักษร
ศาสตร เลือกสอบ
วิชาภาษาอาหรับ",Admission1,,2231,249,19,0,0,1 : 0.08,0,0
24,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,อักษรศาสตร,"คณะอักษรศาสตร
สาขาวิชาอักษร
ศาสตร พื้นฐาน
วิทยาศาสตร",Admission2,,,20,710,24,20,1 : 35.5,27951,23097
25,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,"ภูมิศาสตรและภูมิ
สารสนเทศ",พื้นฐานวิทยาศาสตร,Admission2,,,5,134,6,5,1 : 26.8,21705.6,20792.4
26,10010122904301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะอักษรศาสตร,หลักสูตรอักษรศาสตรบัณฑิต,สารสนเทศศึกษา,พื้นฐานวิทยาศาสตร,Admission2,,,10,99,10,10,1 : 9.9,22265.04,20434.5
27,10010123210301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาคณิตศาสตร",,,Admission1,,,19,80,6,5,1 : 4.21,46.0753,40.1667
28,10010123210301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาคณิตศาสตร",,,Admission2,,,35,206,40,35,1 : 5.89,21138.7,16890.8
29,10010123210401A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เคมี",,,Admission1,,,65,149,12,12,1 : 2.29,52.0667,40.492
30,10010123210401A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เคมี",,,Admission2,,,94,845,113,94,1 : 8.99,21564.8,17408.9
31,10010123210402A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เคมีวิศวกรรม",เคมีวิศวกรรม,,Admission1,,,59,140,17,15,1 : 2.37,51.6,41.7587
32,10010123210402A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เคมีวิศวกรรม",เคมีวิศวกรรม,,Admission2,,,70,565,80,70,1 : 8.07,23331.94,17625.5
33,10010123210501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาจุลชีววิทยา",,,Admission1,,,30,134,4,4,1 : 4.47,45.4333,40.2253
34,10010123210501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาจุลชีววิทยา",,,Admission2,,,41,599,50,41,1 : 14.61,19305.54,17566.84
35,10010123210601A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาชีวเคมี",,,Admission1,,,27,90,10,9,1 : 3.33,52.9833,40.1667
36,10010123210601A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาชีวเคมี",,,Admission2,,,41,450,47,41,1 : 10.98,21536.24,17825.8
37,10010123210701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาชีววิทยา",,,Admission1,,,27,138,14,14,1 : 5.11,85.8667,40.7253
38,10010123210701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาชีววิทยา",,,Admission2,,,35,553,46,35,1 : 15.8,21524.1,18007.4
39,10010123210901A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เทคโนโลยีภาพและการพิมพ",,,Admission1,,,33,39,1,0,1 : 1.18,0,0
40,10010123210901A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เทคโนโลยีภาพและการพิมพ",,,Admission2,,,35,241,44,35,1 : 6.89,20008.14,15257
41,10010123211001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เทคโนโลยีทางอาหาร",เทคโนโลยีการอาหาร,,Admission1,,,50,180,20,19,1 : 3.6,52,41.2333
42,10010123211001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชา
เทคโนโลยีทางอาหาร",เทคโนโลยีการอาหาร,,Admission2,,,66,785,78,66,1 : 11.89,21133.1,17985.34
43,10010123212301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาธรณีวิทยา",,,Admission1,,,19,37,1,1,1 : 1.95,49.0833,49.0833
44,10010123212301A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาธรณีวิทยา",,,Admission2,,,27,181,31,27,1 : 6.7,20551.14,16758
45,10010123212501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาพฤกษศาสตร",,,Admission1,,,31,34,0,0,1 : 1.1,0,0
46,10010123212501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาพฤกษศาสตร",,,Admission2,,,35,228,46,35,1 : 6.51,17105.74,15444.5
47,10010123212601A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาพันธุศาสตร",,,Admission1,,,31,52,0,0,1 : 1.68,0,0
48,10010123212601A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาพันธุศาสตร",,,Admission2,,,35,356,42,35,1 : 10.17,19365.8,16577.2
49,10010123212701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาฟสิกส",,,Admission1,,,25,83,8,7,1 : 3.32,72.7,42.3833
50,10010123212701A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาฟสิกส",,,Admission2,,,41,265,53,41,1 : 6.46,22781.5,16406.44
51,10010123212801A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวัสดุศาสตร",วัสดุศาสตร,,Admission1,,,58,69,0,0,1 : 1.19,0,0
52,10010123212801A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวัสดุศาสตร",วัสดุศาสตร,,Admission2,,,62,511,75,62,1 : 8.24,18410.4,15585.94
53,10010123213001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาศาสตรทางทะเล",,,Admission1,,,24,67,2,1,1 : 2.79,56.5333,56.5333
54,10010123213001A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาศาสตรทางทะเล",,,Admission2,,,27,279,29,27,1 : 10.33,19770.64,17042.1
55,10010123213101A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาศาสตรสิ่งแวดลอม",,,Admission1,,,62,70,4,2,1 : 1.13,44.4167,42.5253
56,10010123213101A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาศาสตรสิ่งแวดลอม",,,Admission2,,,70,526,84,70,1 : 7.51,19759.84,16157.74
57,10010123213201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาสัตววิทยา",,,Admission1,,,14,57,1,1,1 : 4.07,47.2667,47.2667
58,10010123213201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาสัตววิทยา",,,Admission2,,,14,201,15,14,1 : 14.36,18789.74,17364.3
59,10010123213501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาการคอมพิวเตอร",,,Admission1,,,32,338,34,32,1 : 10.56,60.1,45.3333
60,10010123213501A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะวิทยาศาสตร,"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาวิทยาการคอมพิวเตอร",,,Admission2,,,49,985,52,49,1 : 20.1,23513.1,19366.84
61,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาคณิตศาสตร",Admission1,,2431,43,82,1,1,1 : 1.91,73.75,73.75
62,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาเกาหลี",Admission1,,2431,43,46,7,7,1 : 1.07,87.8667,74.4
63,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาเยอรมัน",Admission1,,2431,43,29,6,5,1 : 0.67,83.0833,75.75
64,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาจีน",Admission1,,2431,43,43,5,5,1 : 1,87.2333,79.2333
65,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาญี่ปุน",Admission1,,2431,43,42,5,4,1 : 0.98,82.05,73.2333
66,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาบาลี",Admission1,,2431,43,92,10,10,1 : 2.14,87.6,74.1
67,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาฝรั่งเศส",Admission1,,2431,43,92,13,11,1 : 2.14,84.9333,74.6667
68,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,การปกครอง,"สาขาวิชาการ
ปกครอง เลือกสอบ
วิชาภาษาอาหรับ",Admission1,,2431,43,4,0,0,1 : 0.09,0,0
69,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชา
คณิตศาสตร",Admission1,,2432,45,149,0,0,1 : 3.31,0,0
70,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชาภาษา
เกาหลี",Admission1,,2432,45,100,6,6,1 : 2.22,91.7667,89.5833
71,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชา
ภาษาเยอรมัน",Admission1,,2432,45,54,4,3,1 : 1.2,93.4333,88.4
72,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชา
ภาษาจีน",Admission1,,2432,45,111,5,5,1 : 2.47,98.5,90.7833
73,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชา
ภาษาญี่ปุน",Admission1,,2432,45,96,8,8,1 : 2.13,97.3333,89.0167
74,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชาภาษา
บาลี",Admission1,,2432,45,85,7,7,1 : 1.89,95.6,89.1
75,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชาภาษา
ฝรั่งเศส",Admission1,,2432,45,125,17,16,1 : 2.78,97.0667,88.45
76,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"ความสัมพันธ
ระหวางประเทศ","สาขาวิชา
ความสัมพันธ
ระหวางประเทศ
เลือกสอบวิชาภาษา
อาหรับ",Admission1,,2432,45,7,0,0,1 : 0.16,0,0
77,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาคณิตศาสตร",Admission1,,2433,43,29,0,0,1 : 0.67,0,0
78,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษาเกาหลี",Admission1,,2433,43,62,14,14,1 : 1.44,94.7,79.2167
79,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชา
ภาษาเยอรมัน",Admission1,,2433,43,33,1,1,1 : 0.77,81.222,81.222
80,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษาจีน",Admission1,,2433,43,47,3,3,1 : 1.09,87.2667,80.4667
81,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษาญี่ปุน",Admission1,,2433,43,46,6,6,1 : 1.07,92.5333,80.7833
82,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษาบาลี",Admission1,,2433,43,80,10,10,1 : 1.86,90.0167,79.7137
83,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษา
ฝรั่งเศส",Admission1,,2433,43,86,10,9,1 : 2,89.6333,81.05
84,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,"สังคมวิทยาและ
มานุษยวิทยา","สาขาวิชาสังคม
วิทยาและ
มานุษยวิทยา เลือก
สอบวิชาภาษาอาหรับ",Admission1,,2433,43,1,0,0,1 : 0.02,0,0
85,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,รัฐประศาสนศาสตร,"สาขาวิชารัฐ
ประศาสนศาสตร
เลือกสอบวิชา
คณิตศาสตร",Admission1,,2434,56,47,4,4,1 : 0.84,82.3333,77.3333
86,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,รัฐประศาสนศาสตร,"สาขาวิชารัฐ
ประศาสนศาสตร
เลือกสอบวิชาภาษา
เกาหลี",Admission1,,2434,56,51,5,4,1 : 0.91,85.5333,83.4
87,10010124903201A,จุฬาลงกรณมหาวิทยาลัย,วิทยาเขตหลัก,คณะรัฐศาสตร,หลักสูตรรัฐศาสตรบัณฑิต,รัฐประศาสนศาสตร,"สาขาวิชารัฐ
ประศาสนศาสตร
เลือกสอบวิชา
ภาษาเยอรมัน",Admission1,,2434,56,21,4,3,1 : 0.38,89.6,78.9333
